school_name,school_district,school_level,school_state,school_students
KEYSER PRIMARY SCHOOL,MINERAL COUNTY SCHOOLS,Elementary,WV,264
Winfield Scott Elem,Fort Scott,Elementary,KS,252
Woodville School,Wakefield,Elementary,MA,419
Southwick Regional School,Southwick-Tolland-Granville Regional School District,High,MA,521
KIM ELEMENTARY SCHOOL,Kim Reorganized School District No. 88,Elementary,CO,680
BYHALIA HIGH SCHOOL (9-12),MARSHALL CO SCHOOL DIST,High,MS,444
Theodore Schor Middle School,Piscataway Township School District,Middle,NJ,192
Creekview Ranch,Dry Creek Joint Elementary,Elementary,CA,459
TOMPKINS SQUARE MIDDLE SCHOOL,NEW YORK CITY GEOGRAPHIC DISTRICT # 1,Middle,NY,376
ORANGE CO. HIGH,ORANGE CO PBLC SCHS,High,VA,483
Albert Gallatin North MS,Albert Gallatin Area SD,Middle,PA,927
HIGHBANKS LEARNING CENTER,VOLUSIA,High,FL,303
BARBARA R MORGAN ELEMENTARY,MCCALL-DONNELLY JOINT SCHOOL DISTRICT,Elementary,ID,314
MISSION ES,ANADARKO,Elementary,OK,508
ASH GROVE ELEM.,ASH GROVE R-IV,Elementary,MO,437
Highland Renaissance Academy,Charlotte-Mecklenburg Schools,Elementary,NC,752
Lander Valley High School,Fremont County School District # 1,High,WY,158
Needmore Elementary School,North Lawrence Com Schools,Elementary,IN,438
PS 108 PHILIP J ABINANTI,NEW YORK CITY GEOGRAPHIC DISTRICT #11,Elementary,NY,694
JOHNSBURG CENTRAL SCHOOL,JOHNSBURG CENTRAL SCHOOL DISTRICT,Other,NY,917
Plumbrook Elementary School,Utica Community Schools,Elementary,MI,182
WHITTIER ES,MUSKOGEE,Elementary,OK,723
Madras Middle School,Coweta County,Middle,GA,761
ANNANDALE TERRACE ELEM,FAIRFAX CO PBLC SCHS,Elementary,VA,715
ILTEXAS SAGINAW MIDDLE,INTERNATIONAL LEADERSHIP OF TEXAS (ILTEXAS),Middle,TX,378
Lake Street Primary,Los Angeles Unified,Elementary,CA,359
SOUTH PLANTATION HIGH SCHOOL,BROWARD,High,FL,983
North High,Oshkosh Area School District,High,WI,267
BOYS PREPARATORY CHARTER SCHOOL OF NEW YORK,BOYS PREPARATORY CHARTER SCHOOL OF NEW YORK,Elementary,NY,132
Merit College Preparatory Academy,Merit College Preparatory Academy,High,UT,793
Columbian High School,Tiffin City,High,OH,766
G R Whitfield,Pitt County Schools,Elementary,NC,591
Alburnett Senior High School,Alburnett Comm School District,High,IA,899
BROOKHAVEN ELEMENTARY SCHOOL,SOUTH COUNTRY CENTRAL SCHOOL DISTRICT,Elementary,NY,376
COLBERT EL,DAYTON ISD,Prekindergarten,TX,182
Ponderosa Elementary,Bend-LaPine Administrative SD 1,Elementary,OR,627
Froid Elementary School,Froid Elem,Elementary,MT,954
BRICKER ELEMENTARY SCHOOL,Harrison School District No. 2 in the county of El Paso an,Elementary,CO,986
Burt Elementary,Montgomery County,Elementary,TN,606
Union Elementary School,Paulding County,Elementary,GA,793
Southern Choctaw Elementary School,Choctaw County,Elementary,AL,383
CHENANGO FORKS ELEMENTARY SCHOOL,CHENANGO FORKS CENTRAL SCHOOL DISTRICT,Elementary,NY,828
GOLDEN HILL ELEMENTARY,FLORIDA UNION FREE SCHOOL DISTRICT,Elementary,NY,999
North Central High School,Spokane School District,High,WA,262
CREST VIEW ELEMENTARY SCHOOL,Boulder Valley School District No. Re2,Elementary,CO,308
Dutton/Brady Middle School,Dutton/Brady K-12 Schools,Middle,MT,949
KLEB INT,KLEIN ISD,Middle,TX,581
North Dickinson El Sch,Carlisle Area SD,Elementary,PA,162
LAKE MINNEOLA HIGH SCHOOL,LAKE,High,FL,141
JANE LONG,BRYAN ISD,Middle,TX,596
NEW J H,ALVIN ISD,Not reported,TX,196
ALTUS INTERMEDIATE SCHOOL,ALTUS,Middle,OK,449
CANNON FALLS SECONDARY,CANNON FALLS PUBLIC SCHOOL DISTRICT,High,MN,226
Scotland Elementary School,RIDGEFIELD SCHOOL DISTRICT,Elementary,CT,708
Milan Elementary School,Milan Community Schools,Elementary,IN,530
TAYLOR ELEMENTARY SCHOOL,Colorado Springs School District No. 11 in the county of E,Elementary,CO,382
Lincoln Magnet School,Springfield SD 186,Middle,IL,881
MENDENHALL ELEMENTARY SCHOOL,SIMPSON CO SCHOOL DIST,Elementary,MS,473
Mooresville High School,Mooresville Con School Corp,High,IN,316
Benton Elementary School,RSU 49/MSAD 49,Elementary,ME,343
Robert D Sloman Primary,Marshall County,Elementary,AL,191
Watkins Middle School,Southwest Licking Local,Middle,OH,405
New Bremen High School,New Bremen Local,High,OH,215
Oblock JHS,Plum Borough SD,Middle,PA,941
THOMAS LAKE ELEMENTARY,ROSEMOUNT-APPLE VALLEY-EAGAN,Elementary,MN,310
FLEETWOOD ELEMENTARY SCHOOL,EAST RAMAPO CENTRAL SCHOOL DISTRICT (SPRING VALLEY),Elementary,NY,220
Columbus Downtown High School,Columbus City School District,High,OH,682
TARRALLTON ELEM,NORFOLK CITY PBLC SCHS,Elementary,VA,106
Winskill Elementary,Lancaster Community School District,Elementary,WI,951
MARCO ISLAND ACADEMY,COLLIER,High,FL,929
Whispering Forest Elementary School,St. Tammany Parish,Elementary,LA,671
Walled Lake Elementary School,Walled Lake Consolidated Schools,Elementary,MI,620
Pulaski Community Middle,Pulaski Community School District,Middle,WI,444
Hutchens Elementary School,Mobile County,Elementary,AL,921
CAL Elementary School,CAL Comm School District,Elementary,IA,655
EXTERNAL SITES,SPECL. SCH. DST. ST. LOUIS CO.,Other,MO,661
BETTY ROSADO DE VEGA,PUERTO RICO DEPARTMENT OF EDUCATION,Elementary,PR,210
Stansbury High,Tooele District,High,UT,360
Port Monmouth Elementary School,MIDDLETOWN TOWNSHIP PUBLIC SCHOOL DISTRICT,Elementary,NJ,708
BREVARD COUNTY JUVENILE DETENTION CENTER,BREVARD,High,FL,965
Annville El Sch,Annville-Cleona SD,Elementary,PA,345
Gateway Elementary,Davidson County,Elementary,TN,647
Holly Glen Elementary School,Monroe Township Public School District,Elementary,NJ,271
Ebenezer El Sch,Cornwall-Lebanon SD,Elementary,PA,122
Adam (William Laird) Elementary,Santa Maria-Bonita,Elementary,CA,201
AMANDA ELZY HIGH SCHOOL,GREENWOOD-LEFLORE CONS SCH DISTRICT,High,MS,404
WASHINGTON ELEMENTARY SCHOOL,NORFOLK PUBLIC SCHOOLS,Elementary,NE,864
ROLLING HILLS PUBLIC CHARTER,ROLLING HILLS PUBLIC CHARTER SCHOOL INC.,Elementary,ID,853
Gale Ranch Middle,San Ramon Valley Unified,Middle,CA,232
ARGYLE ELEMENTARY SCHOOL,ARGYLE CENTRAL SCHOOL DISTRICT,Elementary,NY,981
SPRINGFIELD ELEMENTARY SCHOOL,Springfield School District No. Re-4,Elementary,CO,954
Pilarcitos Alternative High (Continuation),Cabrillo Unified,High,CA,967
Buchanan Elementary School,Davenport Comm School District,Elementary,IA,926
Clearview Regional High School,Clearview Regional High School District,High,NJ,496
MICHAEL M BOONE EL,HIGHLAND PARK ISD,Not reported,TX,122
Boston Adult Academy,Boston,High,MA,389
Spring Creek Elementary School,Eugene SD 4J,Elementary,OR,725
Robert Richardson Elementary School,Flowing Wells Unified District (4405),Elementary,AZ,971
Jones Middle School,Gwinnett County,Middle,GA,345
Lakeridge High School,Lake Oswego SD 7J,High,OR,118
MCCOY ELEMENTARY SCHOOL,YAZOO CITY MUNICIPAL SCHOOL DIST,Elementary,MS,584
Emily C. Watkins Elementary,St. John the Baptist Parish,Elementary,LA,205
Stratton Elementary School,Eustis Public Schools,Elementary,ME,287
BALLARD HIGH,BALLARD R-II,High,MO,376
McDonough Middle School,HARTFORD SCHOOL DISTRICT,Middle,CT,459
Purdue Polytechnic High School Ind,Purdue Polytechnic High School Ind,Secondary,IN,241
Sciotoville,Sciotoville,Other,OH,226
Greater Ohio Virtual School,Greater Ohio Virtual School,High,OH,301
Belleview Elementary,York 03,Elementary,SC,630
T T U Child Development Lab,Putnam County,Prekindergarten,TN,627
Stilson Elementary School,Bulloch County,Elementary,GA,334
Scott City Middle,Scott County,Middle,KS,228
Fairview HS,Fairview SD,High,PA,117
Bryant Elementary School,Sioux City Comm School District,Elementary,IA,263
AA Rather School,Ionia Public Schools,Elementary,MI,247
Lincoln Elementary School,Pontiac CCSD 429,Elementary,IL,238
ELIZABETH D. REDD ELEM,RICHMOND CITY PBLC SCHS,Elementary,VA,952
OAK FOREST EL,HOUSTON ISD,Elementary,TX,457
Shearer Elementary,Napa Valley Unified,Elementary,CA,508
Ebenezer Middle School,Effingham County,Middle,GA,724
Morgan County Primary School,Morgan County,Elementary,GA,523
Trico Senior High School,Trico CUSD 176,High,IL,999
Vallejo Mill Elementary,Fremont Unified,Elementary,CA,342
Hebron Avenue School,GLASTONBURY SCHOOL DISTRICT,Elementary,CT,806
EMILIO & GUADALUPE GONZALEZ PRE-K CENTER,DENTON ISD,Prekindergarten,TX,108
Williams Science and Fine Arts Magnet School,Topeka Public Schools,Elementary,KS,725
PAJARITO ELEMENTARY,ALBUQUERQUE PUBLIC SCHOOLS,Elementary,NM,848
GORE ES,GORE,Elementary,OK,641
LUBECK ELEMENTARY SCHOOL,WOOD COUNTY SCHOOLS,Elementary,WV,503
Haleyville High School,Haleyville City,High,AL,485
Lower Gwynedd El Sch,Wissahickon SD,Elementary,PA,179
Summit Academy - Draper Campus,Summit Academy,Elementary,UT,717
SEMINARY ELEMENTARY SCHOOL,COVINGTON COUNTY SCHOOL DISTRICT,Elementary,MS,381
Prairie Elementary,Waukesha School District,Elementary,WI,931
HI-PLAINS SCHOOL DISTRICT R-23,Hi-Plains R-23,Other,CO,566
HORTON DISCIPLINARY ALTERNATIVE EDUCATION PROGRAM,WESLACO ISD,High,TX,666
West Millbrook Middle,Wake County Schools,Middle,NC,216
PRAIRIE WIND MIDDLE,PERHAM-DENT PUBLIC SCHOOL DISTRICT,Middle,MN,473
ACE Inspire Academy,ACE Inspire Academy District,Middle,CA,795
NEWLON ELEMENTARY SCHOOL,School District No. 1 in the county of Denver and State of C,Elementary,CO,295
Harper Creek High School,Harper Creek Community Schools,High,MI,266
JARRELL H S,JARRELL ISD,High,TX,307
SUSSEX CENTRAL MIDDLE,SUSSEX CO PBLC SCHS,Middle,VA,424
THE EXCEL CENTER FOR ADULTS - LOCKHART,THE EXCEL CENTER (FOR ADULTS),High,TX,900
Pittsburgh Woolslair K-5,Pittsburgh SD,Elementary,PA,861
Philadelphia Military Acad at Elverson,Philadelphia City SD,High,PA,109
Hutterische Colony Elementary - 18,Bon Homme School District 04-2,Elementary,SD,762
UNDERWOOD ELEMENTARY,UNDERWOOD PUBLIC SCHOOL DISTRICT,Elementary,MN,758
Ferrisburgh Central School,Addison Northwest Unified School District,Elementary,VT,932
Merriwether Middle,Edgefield 01,Middle,SC,980
Algood Elementary,Putnam County,Elementary,TN,671
Sequoia Elementary,Oakland Unified,Elementary,CA,444
JAMES R. TATE ELEM. SCHOOL,VAN BUREN SCHOOL DISTRICT,Elementary,AR,688
Marquette Elementary School,Muskegon Public Schools of the City of,Elementary,MI,118
Shenandoah Valley JSHS,Shenandoah Valley SD,High,PA,321
BATESVILLE JUNIOR HIGH SCHOOL,SOUTH PANOLA SCHOOL DISTRICT,Middle,MS,615
MARY WALTER ELEM,FAUQUIER CO PBLC SCHS,Elementary,VA,426
Keller Elementary,Lake Washington School District,Elementary,WA,418
MANHATTAN VILLAGE ACADEMY,NEW YORK CITY GEOGRAPHIC DISTRICT # 2,High,NY,925
Clara Barton,Oxford,Elementary,MA,843
SAN PEDRO EL,ROBSTOWN ISD,Elementary,TX,307
North Marion Primary School,North Marion SD 15,Elementary,OR,871
ORE CITY H S,ORE CITY ISD,High,TX,124
CROCKETT EL,HARLINGEN CISD,Elementary,TX,343
Cottonwood Community School,Cottonwood-Oak Creek Elementary District (4487),Elementary,AZ,432
Marion T. Bedwell Elementary School,Somerset Hills Regional School District,Elementary,NJ,299
CALHOUN VIRTUAL FRANCHISE,CALHOUN,Other,FL,362
Ramsey Elem School,Ramsey CUSD 204,Elementary,IL,824
TUSCARORA ELEMENTARY SCHOOL,BERKELEY COUNTY SCHOOLS,Elementary,WV,812
Jonathan Dayton High School,Springfield Public School District,High,NJ,453
EXCEPTIONAL STUDENT EDUCATION,BAY,Other,FL,747
ASPEN VIEW ACADEMY,Douglas County School District No. Re 1,Elementary,CO,366
Allegiance STEAM Academy - Thrive,Allegiance STEAM Academy - Thrive District,Elementary,CA,443
Sequatchie Co High School,Sequatchie County,High,TN,589
DETROIT H S,DETROIT ISD,High,TX,405
Swainsboro Elementary School,Emanuel County,Elementary,GA,879
Myrtle Ave Sch,Keystone Oaks SD,Elementary,PA,228
Red River Charter Academy,Red River Charter Academy,Middle,LA,380
GARRISON-JONES ELEMENTARY SCHOOL,PINELLAS,Elementary,FL,429
LEAD HILL HIGH SCHOOL,LEAD HILL SCHOOL DISTRICT,High,AR,370
Chino Hills High,Chino Valley Unified,High,CA,556
Woodbridge Middle School,Woodbridge Township School District,Middle,NJ,333
WIlliam E  Ferron Elementary School,CLARK COUNTY SCHOOL DISTRICT,Elementary,NV,330
William Lenoir Middle,Caldwell County Schools,Middle,NC,689
TRANSITIONS SCHOOL,FRIDLEY PUBLIC SCHOOL DISTRICT,High,MN,130
YBMC Charter Sch,McLean County USD 5,High,IL,625
Compass Community School Berclair Campus,Shelby County,Elementary,TN,139
CLEAR CREEK MIDDLE SCHOOL,Clear Creek School District No. Re-1,Middle,CO,445
Shearer Elementary,Napa Valley Unified,Elementary,CA,299
SIKESTON HOPE CTR.,DIVISION OF YOUTH SERVICE,High,MO,679
Leupp School Inc.,Leupp School Inc.,Other,BI,537
Eaton Elementary School,Delaware Community School Corp,Elementary,IN,508
ICHABOD CRANE MIDDLE SCHOOL,KINDERHOOK CENTRAL SCHOOL DISTRICT,Middle,NY,655
WEBSTER GROVES HIGH,WEBSTER GROVES,High,MO,227
Valerie Elementary School,Dayton City,Elementary,OH,827
EE Knight Elementary School,Ovid-Elsie Area Schools,Elementary,MI,639
American River Collegiate Academy,American River Collegiate Academy District,Not reported,CA,628
JACKIE FULLER EL,AUBREY ISD,Not reported,TX,169
Southern Middle,Person County Schools,Middle,NC,888
Logan Academy of Global Ecology,Los Angeles Unified,Elementary,CA,256
Cactus View Elementary School,Paradise Valley Unified District (4241),Elementary,AZ,550
TRUE NORTH ROCHESTER PREPARATORY CHARTER SCHOOL,TRUE NORTH ROCHESTER PREPARATORY CHARTER SCHOOL,Other,NY,790
MERIDIAN ELEMENTARY SCHOOL,MERIDIAN PUBLIC SCHOOLS,Elementary,NE,944
Vineyard Junior High,Alta Loma Elementary,Middle,CA,264
LINCOLN HIGH,LINCOLN R-II,High,MO,674
RODERICK R PAIGE EL,HOUSTON ISD,Elementary,TX,499
Opdyke-Belle Rive Grade Sch,Opdyke-Belle-Rive CCSD 5,Elementary,IL,510
ORANGEFIELD H S,ORANGEFIELD ISD,High,TX,540
Hawthorne Elementary School,Westerville City,Elementary,OH,713
Green River High,Emery District,High,UT,973
Hornung Elementary School,Brighton Area Schools,Elementary,MI,282
PALMER ELEMENTARY SCHOOL,School District No. 1 in the county of Denver and State of C,Elementary,CO,476
STRALEY ELEMENTARY SCHOOL,MERCER COUNTY SCHOOLS,Elementary,WV,625
HOLDEN MIDDLE,HOLDEN R-III,Middle,MO,139
Mid Valley Elementary School,Hood River County SD,Elementary,OR,475
MUMFORD H S,MUMFORD ISD,High,TX,927
Pioneer Valley Regional,Pioneer Valley,High,MA,594
ALC ON TRACK,ST. PAUL PUBLIC SCHOOL DISTRICT,Middle,MN,526
CELEBRATION SCHOOL,OSCEOLA,Elementary,FL,478
MAGRILL EC/PK/K,ALDINE ISD,Elementary,TX,227
University Preparatory Art  Design Elementary,University Prepararatory Art & Design,Elementary,MI,783
KIPP Bayview Elementary,KIPP Bayview Elementary District,Elementary,CA,255
Bloomingdale Middle and High School,Bloomingdale Public School District,High,MI,732
INSPIRED VISION ACADEMY EL,INSPIRED VISION ACADEMY,Elementary,TX,353
Central Middle School,Forest Hills Public Schools,Middle,MI,220
South Macon Elementary,Macon County Schools,Elementary,NC,790
Christa McAuliffe School,Jersey City Public Schools,Elementary,NJ,553
National Park School,National Park Boro School District,Elementary,NJ,247
STEELE ELEMENTARY SCHOOL,Colorado Springs School District No. 11 in the county of E,Elementary,CO,225
ESCE Program,Millington Community Schools,Prekindergarten,MI,488
Harrison MS,Baldwin-Whitehall SD,Middle,PA,185
Newtown High School,NEWTOWN SCHOOL DISTRICT,High,CT,196
Ketchikan Charter School,Ketchikan Gateway Borough School District,Elementary,AK,871
Blue Creek School,Blue Creek Elem,Elementary,MT,953
Del Mar Elementary,San Luis Coastal Unified,Elementary,CA,777
RTR HIGH SCHOOL,RTR PUBLIC SCHOOLS,High,MN,898
Wheatland Community Day High,Wheatland Union High,High,CA,209
FANNIN EL,BRYAN ISD,Elementary,TX,840
Nolley Elementary School,Manchester Local,Elementary,OH,941
Mark Twain ElementaryMiddle School,Detroit Public Schools Community District,Elementary,MI,344
Fremont Elementary,Alhambra Unified,Elementary,CA,849
OGDENSBURG FREE ACADEMY,OGDENSBURG CITY SCHOOL DISTRICT,High,NY,520
HOFFMAN LEARNING CENTER,ST. PETER PUBLIC SCHOOL DISTRICT,High,MN,853
GURDON PRIMARY SCHOOL,GURDON SCHOOL DISTRICT,Elementary,AR,725
Arthur Academy,David Douglas SD 40,Elementary,OR,988
Moraine Elementary School,Northville Public Schools,Elementary,MI,808
Hamilton Elementary,Port Angeles School District,Elementary,WA,630
Vincent Middle High School,Shelby County,High,AL,558
Hopkinton Middle School,Hopkinton School District,Middle,NH,385
Delmont Pre-K and Kindergarten Center,East Baton Rouge Parish,Prekindergarten,LA,642
Stark County Elem Sch,Stark County CUSD 100,Elementary,IL,585
York Chester Middle,Gaston County Schools,Middle,NC,106
Early College Alliance,Washtenaw ISD,High,MI,445
Spaulding Elementary,Darlington 01,Elementary,SC,312
Arturo Cambeiro Elementary School,CLARK COUNTY SCHOOL DISTRICT,Elementary,NV,310
Destinations Career Academy of Oregon,Mitchell SD 55,High,OR,625
Wallace Stegner Academy,Wallace Stegner Academy,Elementary,UT,300
Berne Union High School,Berne Union Local,High,OH,137
JESUS T. PINERO,PUERTO RICO DEPARTMENT OF EDUCATION,Elementary,PR,310
THURGOOD MARSHALL H S,FORT BEND ISD,High,TX,285
Bloomfield Middle School,Bloomfield Township School District,Middle,NJ,506
Carlisle County Middle School,Carlisle County,Middle,KY,565
SOUTHARD MIDDLE,PRINCETON ISD,Middle,TX,607
Combs Traditional Academy,J O Combs Unified School District (4445),Elementary,AZ,341
TELLURIDE ELEMENTARY SCHOOL,Telluride School District No. R-1,Elementary,CO,223
Winlock Miller Elementary,Winlock School District,Elementary,WA,820
W O Cline Elementary School,Centerville City,Elementary,OH,566
EAST AURORA HIGH SCHOOL,EAST AURORA UNION FREE SCHOOL DISTRICT,High,NY,735
Woods Road Elementary School,Hillsborough Township Public School District,Elementary,NJ,109
FALMOUTH ELEM,STAFFORD CO PBLC SCHS,Elementary,VA,227
Springfield High School,Springfield SD 19,High,OR,118
CUMBERLAND ACADEMY MIDDLE,CUMBERLAND ACADEMY,Middle,TX,845
Warren Township High School,Warren Twp HSD 121,High,IL,727
COLORADO CONNECTIONS ACADEMY,Mapleton School District No. 1 in the county of Adams & St,Other,CO,950
Mahoning Unlimited Classroom,Mahoning Unlimited Classroom,High,OH,798
STUART M TOWNSEND ELEMENTARY SCHOOL,HADLEY-LUZERNE CENTRAL SCHOOL DISTRICT,Elementary,NY,231
Shaffer Elementary,Atwater Elementary,Elementary,CA,450
PEARL RIVER MIDDLE SCHOOL,PEARL RIVER UNION FREE SCHOOL DISTRICT,Middle,NY,193
DENTON CO J J A E P,KRUM ISD,Not reported,TX,504
Glenwood Elementary School,Ball Chatham CUSD 5,Elementary,IL,626
LAKEVIEW ELEMENTARY,LAKEVIEW SCHOOL DISTRICT,Elementary,MN,486
LEFLORE COUNTY HIGH SCHOOL,GREENWOOD-LEFLORE CONS SCH DISTRICT,High,MS,672
Dodge City Middle School,Dodge City,Middle,KS,226
Horizon School,Pewaukee School District,Middle,WI,247
MISSION INTERMEDIATE GRD CTR,COWETA,Middle,OK,857
Santa Teresa Elementary,Oak Grove Elementary,Elementary,CA,240
East Middle School,Sioux City Comm School District,Middle,IA,989
KING ELEMENTARY,DEER RIVER PUBLIC SCHOOL DISTRICT,Elementary,MN,986
Whitley County East Elementary School,Whitley County,Elementary,KY,397
DEER PARK ELEM,FAIRFAX CO PBLC SCHS,Elementary,VA,830
Rialto High,Rialto Unified,High,CA,347
American Leadership Academy San Tan Valley K-6,American Leadership Academy Inc. (4348),Elementary,AZ,958
RUGBY HIGH SCHOOL,RUGBY 5,High,ND,662
Fox Twp El Sch,Saint Marys Area SD,Elementary,PA,683
Gilmanton Elementary School,Gilmanton School District,Elementary,NH,947
HARMONY GROVE HIGH SCHOOL,HARMONY GROVE SCHOOL DISTRICT,High,AR,854
Savannah Arts Academy,Savannah-Chatham County,High,GA,121
Marblehead High,Marblehead,High,MA,212
Union Grove Middle School,Blount County,Middle,TN,172
THOMAS BENTON ELEM.,COLUMBIA 93,Elementary,MO,334
Winfield Scott School No. 2,Elizabeth Public Schools,Elementary,NJ,897
Center Elementary School,Chelmsford,Elementary,MA,855
Saints Online,St. Francis Area Schools,Other,MN,315
Brooklands Elementary School,Rochester Community School District,Elementary,MI,909
STEAM MIDDLE,BURLESON ISD,Middle,TX,378
CLEAR CREEK H S,CLEAR CREEK ISD,High,TX,766
Union Furnace Elementary School,Logan-Hocking Local,Elementary,OH,277
PALISADES ELEMENTARY SCHOOL,GRETNA PUBLIC SCHOOLS,Elementary,NE,884
CLOQUET SENIOR,CLOQUET PUBLIC SCHOOL DISTRICT,High,MN,367
Clement Elementary,Sampson County Schools,Elementary,NC,546
Millersport Elementary School,Walnut Township Local,Elementary,OH,493
TERRA ENVIRONMENTAL RESEARCH INSTITUTE,MIAMI-DADE,High,FL,558
QUAPAW ES,QUAPAW,Elementary,OK,708
G. HOLMES BRADDOCK SENIOR HIGH,MIAMI-DADE,High,FL,911
Lincoln School,Lyndhurst School District,Middle,NJ,166
CANADIAN ES,CANADIAN,Elementary,OK,101
Lake Washington High,Lake Washington School District,High,WA,652
WALT WHITMAN ELEMENTARY SCHOOL,SYOSSET CENTRAL SCHOOL DISTRICT,Elementary,NY,692
ASU Preparatory Academy - Casa Grande HS,ASU Preparatory Academy - Casa Grande (92987),High,AZ,441
LINDEN-KILDARE H S,LINDEN-KILDARE CISD,High,TX,756
CEDAR RIDGE ELEMENTARY SCHOOL,Pueblo County School District 70,Elementary,CO,320
Brainerd High School,Hamilton County,High,TN,624
Oostburg Elementary,Oostburg School District,Elementary,WI,142
OXHEAD ROAD SCHOOL,MIDDLE COUNTRY CENTRAL SCHOOL DISTRICT,Elementary,NY,310
Chattanooga Valley Elementary School,Walker County,Elementary,GA,714
BUENA VISTA HIGH SCHOOL,Buena Vista School District No. R-31,High,CO,593
Liberty Elementary School,CUSD 300,Elementary,IL,663
Perris Elementary,Perris Elementary,Elementary,CA,111
SCOTSDALE EL,YSLETA ISD,Elementary,TX,167
MAIN STREET ELEMENTARY SCHOOL,NORTH SYRACUSE CENTRAL SCHOOL DISTRICT,Prekindergarten,NY,622
Concord Elementary School,Troy City,Elementary,OH,772
Highland Mill Montessori,Charlotte-Mecklenburg Schools,Elementary,NC,126
Lawrence County CTC,Lawrence County CTC,High,PA,555
PREMIER H S OF NEW BRAUNFELS,PREMIER HIGH SCHOOLS,High,TX,216
MAPLE GROVE ELEM.,NORTHWEST R-I,Elementary,MO,243
Lillian C. Poole Elementary School,Paulding County,Elementary,GA,144
DR WEEKS ELEMENTARY SCHOOL,SYRACUSE CITY SCHOOL DISTRICT,Elementary,NY,875
Cheyenne Elementary - 06,Stanley County School District 57-1,Elementary,SD,696
Poultney Elementary School,Quarry Valley Unified Union School District #70,Elementary,VT,170
Greater Summit County Early Learning Center,Greater Summit County Early Learning Center,Elementary,OH,683
Soledad Preschool Center,Soledad Unified,Not reported,CA,482
West Side Elementary,Elizabethton,Elementary,TN,165
ESU #9 PRESCHOOL HOME BASE PRG,EDUCATIONAL SERVICE UNIT 09,Not applicable,NE,701
Westwood Elementary,Manchester,Elementary,TN,998
Madison Middle,Appleton Area School District,Middle,WI,451
Fircrest Residential Habilitation,Shoreline School District,Other,WA,487
H Ashton Marsh,Absecon Public Schools District,Elementary,NJ,500
PLAYA GRANDE,PUERTO RICO DEPARTMENT OF EDUCATION,Elementary,PR,209
Jefferson Elementary,Merrill Area School District,Elementary,WI,895
Clay City Elementary School,Clay Community Schools,Elementary,IN,657
Uriah H Lawton School,Ann Arbor Public Schools,Elementary,MI,838
Ponderosa Elementary,Anaheim Elementary,Elementary,CA,549
North Union High School,North Union Local School District,High,OH,140
GLOBAL ACADEMY,GLOBAL ACADEMY,Elementary,MN,314
Hardin County Elem School,Hardin County CUSD 1,Elementary,IL,243
VICTORIA WALKER EL,GOOSE CREEK CISD,Elementary,TX,656
A. Russell Knight Elementary School,Cherry Hill School District,Elementary,NJ,284
Gardenview Elementary,Shelby County,Elementary,TN,366
Erie Elementary School,Chippewa Valley Schools,Elementary,MI,504
GENESEE VALLEY BOCES,GENESEE VALLEY BOCES,Other,NY,635
Oxford Elementary School,Cleveland Heights-University Heights City,Elementary,OH,716
WASHINGTON ELEMENTARY SCHOOL,CALDWELL DISTRICT,Elementary,ID,355
West Vincent El Sch,Owen J Roberts SD,Elementary,PA,945
Myron B. Thompson Academy - A New Century PCS,Hawaii Department of Education,Other,HI,357
BRENTWOOD EARLY CHILDHD CENTER,BRENTWOOD,Prekindergarten,MO,640
Claiborne Fundamental Elementary School,Caddo Parish,Elementary,LA,637
Pearblossom Elementary,Keppel Union Elementary,Elementary,CA,575
GRETNA ELEM,PITTSYLVANIA CO PBLC SCHS,Elementary,VA,807
Eisenhower Jr High,Granite District,Middle,UT,330
Highland High School,Highland Comm School District,High,IA,139
Hillcrest Middle,Gravenstein Union Elementary,Middle,CA,521
AZALEA MIDDLE,NORFOLK CITY PBLC SCHS,Middle,VA,245
Charles Taylor Elementary,Foxborough,Elementary,MA,185
Woodglen School,Lebanon Township School District,Middle,NJ,702
Conley Elementary,Taft City,Elementary,CA,797
East Linden Elementary School,Columbus City School District,Elementary,OH,493
Elcho Middle,Elcho School District,Middle,WI,597
PIONEER ELEMENTARY SCHOOL,BISMARCK 1,Elementary,ND,992
GUS WINSTON CAIN EL,WHITEHOUSE ISD,Elementary,TX,717
Washington County High School,Washington Co. Schools,High,KS,508
Olson Park Elem School,Harlem UD 122,Elementary,IL,543
FORT COBB-BROXTON HS,FORT COBB-BROXTON,High,OK,893
Worcester East Middle,Worcester,Middle,MA,184
Walled Lake Central High School,Walled Lake Consolidated Schools,High,MI,185
Moab Charter School,Moab Charter School,Elementary,UT,466
NORTH JONES ELEMENTARY SCHOOL,JONES CO SCHOOL DIST,Elementary,MS,728
Miles River Middle,Hamilton-Wenham,Middle,MA,301
Lodge Community School,Evansville Vanderburgh School Corp,Elementary,IN,101
Hamburg Area Middle School,Hamburg Area SD,Middle,PA,490
L E MONAHAN EL,SHELDON ISD,Elementary,TX,281
MERAMEC HEIGHTS ELEM.,FOX C-6,Elementary,MO,623
Joseph Lane Middle School,Douglas County SD 4,Middle,OR,353
MEDIANIA ALTA ELEMENTAL,PUERTO RICO DEPARTMENT OF EDUCATION,Elementary,PR,515
FOREST GROVE ELEM,LOUDOUN CO PBLC SCHS,Elementary,VA,185
GERING HEAD START,EDUCATIONAL SERVICE UNIT 13,Prekindergarten,NE,390
